run_id,fault_type,scenario,data_source,t_rel,req_count,err_rate,p50_ms,p95_ms,max_ms,active_pods,p50_ratio,tail_ratio
run_memleak_01,memory_leak,1,measured,-28.6,4,0.0,132.0,228.0,228.0,3,1.174,1.727
run_memleak_01,memory_leak,1,measured,-27.6,6,0.0,112.6,115.4,115.4,3,1.002,1.025
run_memleak_01,memory_leak,1,measured,-26.6,6,0.0,113.9,115.9,115.9,3,1.013,1.018
run_memleak_01,memory_leak,1,measured,-25.6,6,0.0,115.6,327.1,327.1,3,1.028,2.83
run_memleak_01,memory_leak,1,measured,-24.6,6,0.0,108.5,114.5,114.5,2,0.965,1.055
run_memleak_01,memory_leak,1,measured,-23.6,6,0.0,112.8,184.9,184.9,3,1.004,1.639
run_memleak_01,memory_leak,1,measured,-22.6,6,0.0,107.4,109.3,109.3,3,0.956,1.018
run_memleak_01,memory_leak,1,measured,-21.6,6,0.0,109.6,164.7,164.7,3,0.975,1.503
run_memleak_01,memory_leak,1,measured,-20.6,6,0.0,110.0,118.2,118.2,3,0.979,1.075
run_memleak_01,memory_leak,1,measured,-19.6,6,0.0,112.6,123.7,123.7,3,1.002,1.099
run_memleak_01,memory_leak,1,measured,-18.6,6,0.0,110.6,114.9,114.9,1,0.984,1.039
run_memleak_01,memory_leak,1,measured,-17.6,6,0.0,117.2,123.0,123.0,3,1.043,1.049
run_memleak_01,memory_leak,1,measured,-16.6,6,0.0,109.9,118.3,118.3,3,0.978,1.076
run_memleak_01,memory_leak,1,measured,-15.6,6,0.0,112.0,119.5,119.5,3,0.996,1.067
run_memleak_01,memory_leak,1,measured,-14.6,6,0.0,112.2,119.0,119.0,3,0.998,1.061
run_memleak_01,memory_leak,1,measured,-13.6,6,0.0,111.7,116.2,116.2,3,0.994,1.04
run_memleak_01,memory_leak,1,measured,-12.6,6,0.0,110.7,114.7,114.7,3,0.985,1.036
run_memleak_01,memory_leak,1,measured,-11.6,6,0.0,112.4,114.4,114.4,3,1.0,1.018
run_memleak_01,memory_leak,1,measured,-10.6,6,0.0,111.6,122.3,122.3,3,0.993,1.096
run_memleak_01,memory_leak,1,measured,-9.6,6,0.0,114.7,119.9,119.9,3,1.02,1.045
run_memleak_01,memory_leak,1,measured,-8.6,6,0.0,114.0,118.0,118.0,3,1.014,1.035
run_memleak_01,memory_leak,1,measured,-7.6,6,0.0,114.5,118.5,118.5,3,1.019,1.035
run_memleak_01,memory_leak,1,measured,-6.6,6,0.0,113.0,117.6,117.6,3,1.005,1.041
run_memleak_01,memory_leak,1,measured,-5.6,6,0.0,114.5,127.9,127.9,3,1.019,1.117
run_memleak_01,memory_leak,1,measured,-4.6,6,0.0,110.0,114.3,114.3,3,0.979,1.039
run_memleak_01,memory_leak,1,measured,-3.6,6,0.0,115.5,117.9,117.9,3,1.028,1.021
run_memleak_01,memory_leak,1,measured,-2.6,6,0.0,112.2,121.7,121.7,3,0.998,1.085
run_memleak_01,memory_leak,1,measured,-1.6,6,0.0,114.6,117.3,117.3,2,1.02,1.024
run_memleak_01,memory_leak,1,measured,-0.6,6,0.0,109.7,114.9,114.9,2,0.976,1.047
run_memleak_01,memory_leak,1,measured,0.4,6,0.0,107.7,119.5,119.5,3,0.958,1.11
run_memleak_01,memory_leak,1,measured,1.4,6,0.0,109.4,122.8,122.8,3,0.973,1.122
run_memleak_01,memory_leak,1,measured,2.4,6,0.0,122.2,125.9,125.9,3,1.087,1.03
run_memleak_01,memory_leak,1,measured,3.4,6,0.0,127.5,131.1,131.1,3,1.134,1.028
run_memleak_01,memory_leak,1,measured,4.4,6,0.0,131.6,136.1,136.1,2,1.171,1.034
run_memleak_01,memory_leak,1,measured,5.4,6,0.0,135.0,137.8,137.8,3,1.201,1.021
run_memleak_01,memory_leak,1,measured,6.4,6,0.0,144.8,145.3,145.3,2,1.288,1.003
run_memleak_01,memory_leak,1,measured,7.4,6,0.0,149.1,152.7,152.7,3,1.327,1.024
