timestamp,avg_latency_ms,total_errors,active_pods
2026-08-03 16:42:06,2539.2,2,0
2026-08-03 16:42:07,0.0,0,0
2026-08-03 16:42:08,0.0,0,0
2026-08-03 16:42:09,0.0,0,0
2026-08-03 16:42:10,0.0,0,0
2026-08-03 16:42:11,0.0,0,0
2026-08-03 16:42:12,5032.7,1,0
2026-08-03 16:42:13,0.0,0,0
2026-08-03 16:42:14,0.0,0,0
2026-08-03 16:42:15,0.0,0,0
2026-08-03 16:42:16,0.0,0,0
2026-08-03 16:42:17,2509.8,2,0
2026-08-03 16:42:18,0.0,0,0
2026-08-03 16:42:19,0.0,0,0
2026-08-03 16:42:20,0.0,0,0
2026-08-03 16:42:21,0.0,0,0
2026-08-03 16:42:22,7.7,1,0
